layer,neuron_index,d_cohens_d,d_mean_diff,type
2,475,2.101910906290226,0.1077674335621413,high_precision
9,2555,1.9934537506483996,0.1780254076214332,high_precision
4,1910,1.9746702297972205,0.1094378454825491,high_precision
4,1700,1.9739415705626024,0.1130157889733527,high_precision
3,101,1.9284901007797104,0.0517760330134769,high_precision
6,3004,1.908926177441342,0.0974224762296144,high_precision
8,1122,1.8890978619338576,0.1042005693879618,high_precision
6,217,1.8772129908909356,0.0846256115464639,high_precision
8,1677,1.8564110733292836,0.0944345616745358,high_precision
7,2734,1.8455394894801664,0.1670241788681596,high_precision
11,896,1.024887334259405,0.385347456395626,high_output
11,974,1.614286508142167,0.343822612285614,high_output
9,1641,1.2443114412076557,0.2484747632542858,high_output
7,2151,1.393315691358922,0.2394088868222897,high_output
9,1503,1.4214279323262455,0.2018503697048872,high_output
11,95,1.0230203753239102,0.196785737459897,high_output
10,1973,0.8281964380460013,0.1825109677314758,high_output
9,504,1.3387417443938987,0.1801399872549664,high_output
9,2555,1.9934537506483996,0.1780254076214332,high_output
10,910,1.453454547248105,0.1755785405575589,high_output
