Layer,Max_Cohens_d,Count_Cohens_d_above_1.25,Count_Cohens_d_above_0.8,Max_Activation_Strength,Count_Activation_above_0.06,Percent_Specialized_Above_0.06
0,4.588543228557317,49,131,0.2097453614241676,45,27.480916030534353
1,3.516608058387951,93,283,0.2211142562775639,47,15.901060070671377
2,4.852892822867089,96,287,0.2758642727938131,54,17.770034843205575
3,2.3040277121202384,107,299,0.1773728469093912,53,17.725752508361204
4,2.796569320803041,106,310,0.1885696188592119,70,21.935483870967744
5,2.814638479896076,127,336,0.1573020427876617,101,29.761904761904763
6,3.290412057108383,110,344,0.2974569969705771,121,32.848837209302324
7,3.5011278056473474,125,351,0.2146819395122584,161,44.15954415954416
8,3.2177306989802825,109,352,0.2399624369780067,182,48.01136363636363
9,2.975676590133695,95,304,0.2914737527094548,181,50.6578947368421
10,2.389035436560897,87,322,0.3332518578781746,265,63.35403726708074
11,3.4435249239887957,91,330,0.3617828054726124,310,60.909090909090914
