layer,neuron_index,v_cohens_d,v_mean_diff,type
6,1426,3.0010046970225317,0.1485039470275223,high_precision
10,625,2.971326433511468,0.1190920937241317,high_precision
10,1672,2.920432751660465,0.1410769692608737,high_precision
0,154,2.798325075232138,0.2238625704571604,high_precision
7,1049,2.7269604619194587,0.1744178200035821,high_precision
4,2383,2.656764648683335,0.175756097233796,high_precision
4,1002,2.6197878234908565,0.0848057585021306,high_precision
4,2073,2.5969199251917146,0.1639985859370208,high_precision
4,2230,2.5871500749009884,0.07202936112108,high_precision
7,2051,2.574906137317758,0.0719996769643185,high_precision
8,23,1.417809627120797,0.3163968956768512,high_output
9,582,1.6069644327226895,0.2863225684415374,high_output
11,764,1.4315744806686634,0.2734163922592997,high_output
9,1098,1.9464955591760364,0.2660838735039579,high_output
11,2397,2.0918451782327705,0.2501895434900653,high_output
9,1875,1.7210750916376394,0.2492235389209818,high_output
6,2774,1.602084975245459,0.2372509719548979,high_output
10,2514,1.9730448018836733,0.2325861843692837,high_output
11,816,1.6408550348852673,0.2318587996516726,high_output
0,1558,2.089141643963413,0.2304926407258026,high_output
